COUNTYFIPS,COUNTY,lon,lat,Total de Centros,Total de Capacidad
72001,Adjuntas,-66.75,18.175,4,88
72003,Aguada,-67.175,18.365,10,261
72005,Aguadilla,-67.115,18.465,25,743
72007,Aguas Buenas,-66.13,18.25,7,181
72009,Aibonito,-66.255,18.135,6,80
72013,Arecibo,-66.67,18.42,37,991
72015,Arroyo,-66.05,17.98,8,120
72011,Añasco,-67.12,18.29,11,267
72017,Barceloneta,-66.56,18.45,5,180
72019,Barranquitas,-66.305,18.2,4,204
72021,Bayamón,-66.165,18.35,64,1647
72023,Cabo Rojo,-67.145,18.03,12,284
72025,Caguas,-66.05,18.225,48,1210
72027,Camuy,-66.865,18.425,8,330
72029,Canóvanas,-65.885,18.33,5,234
72031,Carolina,-65.955,18.385,29,825
72033,Cataño,-66.145,18.435,1,75
72035,Cayey,-66.145,18.105,12,226
72037,Ceiba,-65.66,18.245,2,89
72039,Ciales,-66.515,18.3,4,92
72041,Cidra,-66.16,18.18,10,215
72043,Coamo,-66.355,18.1,14,510
72045,Comerío,-66.215,18.23,3,124
72047,Corozal,-66.325,18.31,4,142
72049,Culebra,-65.285,18.32,0,0
72051,Dorado,-66.265,18.435,9,279
72053,Fajardo,-65.675,18.32,14,236
72054,Florida,-66.56,18.37,2,82
72057,Guayama,-66.13,18,18,434
72059,Guayanilla,-66.79,18.04,6,137
72061,Guaynabo,-66.115,18.345,23,806
72063,Gurabo,-65.97,18.26,5,220
72055,Guánica,-66.91,17.99,2,76
72065,Hatillo,-66.8,18.42,10,247
72067,Hormigueros,-67.11,18.135,9,338
72069,Humacao,-65.81,18.14,12,306
72071,Isabela,-67,18.46,17,444
72073,Jayuya,-66.585,18.2,2,70
72075,Juana Díaz,-66.485,18.04,18,434
72077,Juncos,-65.905,18.225,10,283
72079,Lajas,-67.035,18.01,4,100
72081,Lares,-66.86,18.275,15,445
72083,Las Marías,-66.98,18.235,5,107
72085,Las Piedras,-65.865,18.185,9,313
72087,Loíza,-65.89,18.42,0,0
72089,Luquillo,-65.72,18.35,3,136
72091,Manatí,-66.49,18.43,16,510
72093,Maricao,-66.95,18.175,0,0
72095,Maunabo,-65.9,18.01,2,75
72097,Mayagüez,-67.11,18.21,35,1112
72099,Moca,-67.075,18.385,11,256
72101,Morovis,-66.415,18.325,5,113
72103,Naguabo,-65.76,18.225,7,104
72105,Naranjito,-66.25,18.285,13,306
72107,Orocovis,-66.425,18.22,3,107
72109,Patillas,-66.005,18.02,1,19
72111,Peñuelas,-66.725,18.065,2,72
72113,Ponce,-66.615,18.05,47,1219
72115,Quebradillas,-66.925,18.47,9,210
72117,Rincón,-67.23,18.335,1,75
72119,Río Grande,-65.8,18.35,16,318
72121,Sabana Grande,-66.94,18.075,4,55
72123,Salinas,-66.25,18.01,8,378
72125,San Germán,-67.035,18.105,13,262
72127,San Juan,-66.06,18.4,122,3779
72129,San Lorenzo,-65.97,18.16,7,247
72131,San Sebastián,-66.97,18.33,16,369
72133,Santa Isabel,-66.385,17.99,4,93
72135,Toa Alta,-66.24,18.36,14,284
72137,Toa Baja,-66.2,18.435,19,467
72139,Trujillo Alto,-65.995,18.33,13,252
72141,Utuado,-66.7,18.265,3,102
72143,Vega Alta,-66.335,18.42,4,148
72145,Vega Baja,-66.4,18.42,10,347
72147,Vieques,-65.44,18.13,1,50
72149,Villalba,-66.475,18.13,6,134
72151,Yabucoa,-65.89,18.07,10,178
72153,Yauco,-66.855,18.08,15,294
